position,coordinates,category,infoTitle,infoEmail
"450 S. Denton Tap Road, Coppell, TX, 75019","32.9597043, -96.9926505",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Coppell Community Garden - Ground Delivery Garden,info@coppellcommunitygarden.org
"255 Parkway Blvd, Coppell, TX, 75019","32.9757281, -96.9911394",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Coppell Community Garden - Helping Hands Garden,info@coppellcommunitygarden.org
"345 West Bethel Road, Coppell, TX, 75019","32.9525209, -97.00205340000001",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Coppell Community Garden - Old Town Garden,info@coppellcommunitygarden.org
"2711 Ervay Street, Dallas, TX, 75215","32.7637388, -96.7802979",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Cornerstone Community Garden (Cornerstone Baptist Church Dallas),Jboykins@citysquare.org
"1625 S. Malcolm x Blvd, Dallas, TX, 75226","32.7786418, -96.7791804",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,"Cottages at Hickory Crossing Community Garden, The",
"2604 S Harwood St., Dallas, TX, 75215","32.7672944, -96.7790581",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Dallas Masjid مسجد of al-Islam,
"900 S Harwood, Dallas, TX, 75206","32.7779707, -96.7903207",a9e8a2fb-c031-484b-8f99-93b1c1debe3b,Dallas Urban Farms/Mudhen,max@dallasurbanfarms.com
"417 Dartmouth Ln., Richardson, TX, 75081","32.9539905, -96.68904169999999",41de4602-4742-4362-9185-8bfb18c4eb44,Dartmouth Elementary (RISD),dawn.cleaves@risd.org
"4913 N. FM 1752, Savoy, TX, 75479","33.6551999, -96.3569936",97d6907d-b8ba-473d-9c4a-a4834c9da7f0,DC Homestead Farm to Table,c2m1452@yahoo.com
"S. Good Latimer/ Canton St., Dallas, TX, 75226","32.7816494, -96.7859342",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Deep Ellum Urban Gardens,DUG@deepellumtexas.com
"1010 S. Pearl Expressway, Dallas, TX, 75201","32.7770482, -96.78939",a9e8a2fb-c031-484b-8f99-93b1c1debe3b,DFM - Mama Ida's Garden,farmerkimaman@gmail.com
"4819 Silver Ave, Dallas, TX, 75223-3545","32.7816874, -96.7396354",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Dolphin Heights Community Garden,annah2724@gmail.com
"700 Dover Dr., Richardson, TX, 75080","32.9445203, -96.7591855",41de4602-4742-4362-9185-8bfb18c4eb44,Dover Elementary School (RISD),dawn.cleaves@risd.org
"2611 Healy Dr., Dallas, TX, 75228","32.8257879, -96.66949199999999",41de4602-4742-4362-9185-8bfb18c4eb44,Edwin J. Kiest Elementary,mazucenaamaya@gmail.com
"801 Main Street, Dallas, TX, 75202","32.7797883, -96.80520899999999",41de4602-4742-4362-9185-8bfb18c4eb44,El Centro College Urban Agriculture and Renewable Resources,kara.casy@dcccd.edu
"822 W. Pleasant Run Rd, Lancaster, TX, 75146","32.604906, -96.77161489999999",41de4602-4742-4362-9185-8bfb18c4eb44,Elsie Robertson Lancaster STEM Middle School,
"1835 Young St, #508, Dallas, TX, 75201","32.7782913, -96.79383229999999",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Encore Park Community Garden,AshleeH@fpcdallas.org
"421 Custer Road, Richardson, TX, 75080","32.954976, -96.7362689",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Epiphany Neighborhood Garden,cmhampshire@gmail.com
"700 S. Good Latimer Expwy, Dallas, TX, 75224","32.779586, -96.784291",5d986013-f56f-416f-bd10-3f083e69e302,F.A.R.M./Farming Veterans,farm@farmvet.org
"1001 N Central Expwy, Richardson, TX, 75080","32.96290949999999, -96.7269253",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,FBR Community Garden (First Baptist Richardson),garden@fbrichardson.com
"9373 Whitehurst Dr., Dallas, TX, 75243","32.902012, -96.7396981",41de4602-4742-4362-9185-8bfb18c4eb44,Forest Meadow Junior High School,
"10330 Bunchberry Dr., Dallas, TX, 75243","32.9212231, -96.70684220000001",41de4602-4742-4362-9185-8bfb18c4eb44,Forestridge Elementary,
"14532 Meandering Way, Dallas, TX, 75254","32.9469037, -96.77746549999999",a9e8a2fb-c031-484b-8f99-93b1c1debe3b,Freddie's Farm at Northwood Hills Elementary,cheryl.derrington@risd.org
"3715 S Westmoreland Rd, Dallas, TX, 75233","32.6977296, -96.87913739999999",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Freedom Missionary Baptist Church Community Garden,
"2020 W. Wheatland Rd., Dallas, TX, 75232","32.6465507, -96.8506788",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Friendship West Baptist Church,
"5828 E Mockingbird Ln, Dallas, TX, 75206","32.8360624, -96.766589",41de4602-4742-4362-9185-8bfb18c4eb44,The Garden at Mockingbird Elementary,sarahjanerust@gmail.com
"1818 Chestnut St., Dallas, TX, 75226","32.7793595, -96.7751146",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Garden at the Laundry,
"1450 Old Gate Ln, Dallas, TX, 75218","32.824804, -96.7034149",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,The Garden at White Rock,
"4022 Naaman School Rd, Garland, TX, 75040","32.9535454, -96.6274336",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Garland Community Garden,jfsstroud@verizon.net
"13535 Spring Grove ave, Dallas, TX, 75240","32.9331347, -96.7752482",41de4602-4742-4362-9185-8bfb18c4eb44,Gator Garden,julie.dibiase@risd.org
"3926 Old Denton Rd, Carrollton, TX, 75007","33.018221, -96.91322",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,The Giving Garden,contact@givinggardenofcarrollton.org
"3375 Edgewood Drive, Garland, TX, 75042","32.9145455, -96.6809371",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,God's Community Garden @ ROC (Recreation Outreach Center),sueirvine@aol.com
"612 N. Cliff Street, Dallas, TX, 75237 ","32.75511, -96.806584",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Golden Gate Missionary Baptist Church Community Garden,
"11110 Midway Rd., Dallas, TX, 75229","32.9005251, -96.83652359999999",41de4602-4742-4362-9185-8bfb18c4eb44,Good Shepard Kinder Garden (Good Shephard Episcopal School),lfleskes@gsesdallas.org
"225 Cedar Street, Cedar Hill, TX, 75104","32.5890979, -96.9501442",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Good to GrOw (program of Warrior Spirit Project),charla@warriorspiritproject.org
"900 N Walnut Creek Dr, Mansfield, TX, 76063","32.5773172, -97.13210989999999",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Green Phoenix Farms,Adam@greenphoenixfarms.com
"8787 Greenville Ave, Dallas, TX, 75243","32.8968235, -96.7522044",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Harvest of Hope (Ascension Garden of Hope),dkhaack51@gmail.com
"4507 Scyene, Dallas, TX, 75210 ","32.7661521, -96.7449243",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Hatcher Station Training and Community Farm,olynch@smu.edu
"200 S Jefferson St, Irving, TX, 75060","32.812345, -96.944142",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Heritage Gardens @ Heritage Senior Center,
"9949 McCree Road, Dallas, TX, 75238","32.8722213, -96.7140811",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Highlands Christian Community Garden,
"2014 Dairy Rd., Garland, TX, 75041","32.892377, -96.6217497",41de4602-4742-4362-9185-8bfb18c4eb44,Hillside Academy (Garland ISD),
"11600 Welch Road, Dallas, TX, 75229","32.9075127, -96.8271798",41de4602-4742-4362-9185-8bfb18c4eb44,The Hockaday Lower School Garden,lguerra@hockaday.org
"3421 Chihuahua Ave., Dallas, TX, 75212","32.7842394, -96.8458452",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Homestead Community Garden @ Greater Mt. Hebron Baptist Church (Oak Cliff Veggie Project),
"1108 Cristler Avenue, Dallas, TX, 75223","32.7992459, -96.742313",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Hope Community Garden (Gardeners in Community Development),Chrysalisbutterfly@att.net
"1651 E Campbell Rd, Richardson, TX, 75082","32.9745623, -96.691841",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Hopes Harvest Community Garden,garden@centralrichardson.com
"8301 Towns St, Dallas, TX, 75243","32.9170432, -96.7611392",41de4602-4742-4362-9185-8bfb18c4eb44,HPPM Garden of LIFE,glcaudell@hotmail.com
"7500 W Camp Wisdom Rd, Dallas, TX, 75236","32.66502690000001, -96.9548425",97d6907d-b8ba-473d-9c4a-a4834c9da7f0,ILC Aquaponics,cherish_duerst@sil.org
"2313 Peabody Street, Dallas, TX, 75215","32.7643786, -96.7725183",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Islamic Center of South Dallas (tends to MUI),
"4907 Bartlett Ave., Dallas, TX, 75216","32.687963, -96.7931351",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Jackson Family Community Garden,plesmm4@gmail.com
"3677 Mapleshade Ln, Plano, TX, 75075","33.0041538, -96.7596038",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Jan's Garden at NTFB,emily.anderson@ntfb.org
"600 S Glenville Dr, Richardson, TX, 75081","32.939442, -96.7054213",41de4602-4742-4362-9185-8bfb18c4eb44,Jess Harben Elementary Garden (RISD),dawn.cleaves@risd.org
"3920 Caruth Blvd, Dallas, TX, 75225","32.8594343, -96.80060519999999",41de4602-4742-4362-9185-8bfb18c4eb44,John S. Bradfield Elementary,
"1700 Keller Springs Rd., Carrollton, TX, 75006","32.9706469, -96.89349790000001",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Josey Ranch Prairie Pocket @ Josey Ranch Lake Library,Suz@dooling.net
"1018 Graham Ave, Dallas, TX, 75223","32.794247, -96.74914",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Kalachandji's Community Garden,
"1510 N Highway 175, Seagoville, TX, 75104-4219","32.65402450000001, -96.5532313",a9e8a2fb-c031-484b-8f99-93b1c1debe3b,Kids Place Garden,seagovilekidsplace@gmail.com
"3601 Ravinia Dr., Dallas, TX, 75233","32.6996911, -96.8709117",41de4602-4742-4362-9185-8bfb18c4eb44,Kiestwood Community Gardens,
"3601 Herbert, Dallas, TX, 75212","32.7828157, -96.8301704",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,La Bajada Urban Youth Farm - Promise of Peace Gardens,ejdry54@yahoo.com
"7901 Goforth Rd, Dallas, TX, 75238","32.8682678, -96.7295838",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Lake Highlands Community Garden,lakehighlandsgarden@gmail.com
"3000 Hillbrook, Dallas, TX, 75214","32.8259621, -96.7440043",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Lakewood Elementary School,
"4239 W. Lover's Ln., Dallas, TX, 75209","32.851479, -96.8367539",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Little House Community Organic Garden,
"1050 Lochness Ln, Garland, TX, 75044","32.9774812, -96.6181397",41de4602-4742-4362-9185-8bfb18c4eb44,Luna Elementary (Garland ISD),
"1200 Larkspur Dr., Richardson, TX, 75081","32.9485772, -96.7042094",41de4602-4742-4362-9185-8bfb18c4eb44,Mark Twain Elementary (Richardson ISD),
"2331 Custer Dr, Dallas, TX, 75216","32.7025099, -96.785023",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,McCarty & Maathai Community Garden,mccartmaathai@gmail.com
"5595 FM 1461, McKinney, TX, 75071","33.261086, -96.72050399999999",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,McKinney Roots,mckinneyroots@gmail.com
"7101 Winedale Dr., Dallas, TX, 75231","32.8794891, -96.7398351",41de4602-4742-4362-9185-8bfb18c4eb44,Merriman Park Elementary Outdoor Learning Center (RISD),Lindsay.Baronoskie@risd.org
"4719 Collins Ave., Dallas, TX, 75210","32.777228, -96.742197",a9e8a2fb-c031-484b-8f99-93b1c1debe3b,Mill City Urban Farm,millcitycommunityassociation@gmail.com
"2922 M.L.K Jr. Blvd, Dallas, TX, 75215","32.7705409, -96.7659978",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,MLK Freedom Garden - Seedling Farm,tyrone.day06@gmail.com
"1500 Mimosa Dr., Richardson, TX, 75080",,41de4602-4742-4362-9185-8bfb18c4eb44,Mohawk Community Garden (RISD),
"9202 Moss Farm Ln, Dallas, TX, 75243","32.8955052, -96.7436379",41de4602-4742-4362-9185-8bfb18c4eb44,Moss Haven Elementary Farm (RISD),Farmerkimaman@gmail.com
"5821 Bonnie View Rd., Dallas, TX, 75241","32.676636, -96.7657941",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Mountain Creek View Apts. (Oak Cliff Veggie Project),plesmm4@gmail.com
"450 Abrams Rd., Richardson, TX, 75081","32.9443343, -96.7269049",41de4602-4742-4362-9185-8bfb18c4eb44,MST (Math Science Technology)  Magnet School (RISD),dawn.cleaves@risd.org
"2313 Peabody Ave., Dallas, TX, 75215","32.7643952, -96.772482",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,The Community Garden on Peabody,k_i_m75227@yahoo.com
"4528 Rusk Ave., Dallas, TX, 75204","32.8077146, -96.784584",41de4602-4742-4362-9185-8bfb18c4eb44,Multiple Careers Magnet Center,
"206 W Daniel, Duncanville, TX, 75116","32.6487001, -96.9100548",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Covenant Gardens @ First United Methodist Church of Duncanville,s.karger@yahoo.com
"7575 South Hampton Rd., Dallas, TX, 75232",,afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Mustard Seed Community Garden,vlusk2131@sbcglobal.net
"1609 Panama Street, Dallas, TX, 75215","32.75884500000001, -96.775267",41de4602-4742-4362-9185-8bfb18c4eb44,My Community Garden @ St. Philips,
"2929 Hickory St., Dallas, TX, 75226","32.7789651, -96.77588039999999",a9e8a2fb-c031-484b-8f99-93b1c1debe3b,New Hope Garden at Austin Street Center,karen.milam@austinstreet.org
"1315 N Fitzhugh, Dallas, TX, 75204","32.8031566, -96.772972",97d6907d-b8ba-473d-9c4a-a4834c9da7f0,Live Oak Community Garden,grower@flash.net
"4701 Sycamore St, Dallas, TX, 75204","32.8010397, -96.77300729999999",97d6907d-b8ba-473d-9c4a-a4834c9da7f0,Old East Dallas Urban Garden,bill.arnquist@swbell.net
"4500 W. Davis St, Dallas, TX, 75211","32.7479652, -96.8936236",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Our Lady Garden at Our Lady of Charity Parish,
"1616 N. Jim Miller Rd., Dallas, TX, 75217","32.7403209, -96.6999233",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Our Savior Community Garden,oursaviourchurch2021@gmail.com
"1451 John West Road, Dallas, TX, 75228","32.8076164, -96.6928087",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Owenwood Community Garden,emack2@sbcglobal.net
"1222 E. Red Bird Ln., Dallas, TX, 75241","32.6745039, -96.80441379999999",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Paradise Garden of Eatin,tymeka_phenix@yahoo.com
"2232 Parkcrest Dr., Garland, TX, 75041","32.8918986, -96.6617239",41de4602-4742-4362-9185-8bfb18c4eb44,Park Crest Elementary,linseygilbert@hotmail.com
"4627 Virginia St., Dallas, TX, 75204","32.8033189, -96.7762832",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Peace Community Garden,pattigeneres9226@gmail.com
"901 N. Britain, Irving, TX, 75061","32.8227532, -96.94313939999999",41de4602-4742-4362-9185-8bfb18c4eb44,Pierce Early Childhood School (Irving ISD),
"1121 Rockingham Dr., Richardson, TX, 75080","32.9635785, -96.74132879999999",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,PLAN Community Garden (Jewish Family Services),rjosenhans@jfsdallas.org
"4030-B W. Plano Parkway, Plano, TX, 75093","33.0107184, -96.7738846",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Plano Community Garden,SEED@plano.gov
"2444 Telegraph Ave, Dallas, TX, 75228","32.8011301, -96.7064661",41de4602-4742-4362-9185-8bfb18c4eb44,Bayles Elementary Jardin de Prosperidad,
"4319 San Jacinto, Dallas, TX, 75204","32.8011301, -96.7064661",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Emanuel Community Garden,
"11001 Midway Rd., Dallas, TX, 75229","32.8975503, -96.83882679999999",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,The Raincatcher's Garden of Midway Hills,
"1810 S. Sam Houston Rd., Mesquite, TX, 75149","32.751916, -96.6337099",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Raising the Bridge Community Garden,contactus@raisingthebridge.org
"2830 Duval Dr, Dallas, TX, 75211","32.7430996, -96.8662907",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Ravinia Heights Community Garden,
"715 Rowlett Rd., Garland, TX, 75040","32.8500144, -96.59129689999999",a9e8a2fb-c031-484b-8f99-93b1c1debe3b,RED Garden at Rowlett Road District 1 Road and Bridge (Texas A&M AgriLife Extension),
"101 N Floyd Rd, Richardson, TX, 75080","32.9517818, -96.7447994",41de4602-4742-4362-9185-8bfb18c4eb44,Richardson Heights Elementary (RISD),
"1250 W. Beltline Rd., Richardson, TX, 75080","32.9528522, -96.7622806",41de4602-4742-4362-9185-8bfb18c4eb44,Richardson High School (RISD),dawn.cleaves@risd.org
"13630 Coit Rd, Dallas, TX, 75240","32.935093, -96.7682203",41de4602-4742-4362-9185-8bfb18c4eb44,RISD Academy,
"2911 Delmar Ave., Dallas, TX, 75206","32.8245284, -96.7665471",41de4602-4742-4362-9185-8bfb18c4eb44,Robert E. Lee Elementary School,nbuxton@flash.net
"707 Young Blvd, DeSoto, TX, 75115","32.6003841, -96.86740300000001",41de4602-4742-4362-9185-8bfb18c4eb44,Ruby Young Elementary,
"3839 W. Kiest Blvd., Dallas, TX, 75233","32.7061272, -96.88446669999999",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Sankofa Garden at UU Oak Cliff Church (Oak Cliff Veggie Project),Mikeluster85@gmail.com
"3030 Saturn Road, Garland, TX, 75089","32.8796845, -96.6473595",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Saturn Hills Community Garden,jamcclure@gmail.com
"8571 FM 272, Celeste, TX, 75423","33.3593532, -96.1568444",a9e8a2fb-c031-484b-8f99-93b1c1debe3b,School for Sustainable Agriculture,pmagedson@yahoo.com
"8307 Meadow Rd, Dallas, TX, 75231","33.3593532, -96.1568444",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,"Seeds of Hope Garden, McShan Elementary",
"2201 N Stemmons Fwy, Dallas, TX, 75207",,afb9d952-8c58-405a-9ccc-cc944ec6ad6c,SER Garden,
"4130 Altoona Dr., Dallas, TX, 75233","32.694578, -96.88711099999999",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Set Free Community Garden,
"5940 Hollis Ave, Dallas, TX, 75227","32.7677164, -96.7198822",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Silberstein Elementary Community Garden,ediaz@neighborupdallas.org
"5915 Singing Hills Dr., Dallas, TX, 75241","32.67537009999999, -96.80140039999999",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Singing Hills Community Garden @ St. Luke Presbeterian (Oak Cliff Veggie Project),plesmm4@gmail.com
"2715 Kirven St, Dallas, TX, 75227","32.7581458, -96.6670563",97d6907d-b8ba-473d-9c4a-a4834c9da7f0,Sky Blue Farm,skybluefarmdallas@gmail.com
"9229 Meadow Knoll Dr, Dallas, TX, 75243","32.9026903, -96.7338882",41de4602-4742-4362-9185-8bfb18c4eb44,Skyview Harmony Garden (RISD),sarah.greenman@gmail.com
"4849 W. Illinois Ave., Dallas, TX, 75211","32.7269983, -96.903725",41de4602-4742-4362-9185-8bfb18c4eb44,Slow Food Community Garden at Mountain View College,ldelacruz@dcccd.edu
"1510 Spring Creek Dr, Dallas, TX, 75041","32.9540141, -96.6504284",41de4602-4742-4362-9185-8bfb18c4eb44,Spring Creek Elementary (RISD),carolyn.sterling@me.com
"13535 Spring Grove Ave., Dallas, TX, 75240","32.9331347, -96.7752482",41de4602-4742-4362-9185-8bfb18c4eb44,Spring Valley Elementary (RISD),
"1801 E. Spring Valley Rd., Richardson, TX, 75081","32.9391133, -96.6902951",41de4602-4742-4362-9185-8bfb18c4eb44,Springridge Elementary (RISD),
"5923 Royal Ln, Dallas, TX, 75230","32.8953047, -96.8068832",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,St. Luke's Urban Garden (SLUG),
"720 S. Floyd Rd., Richardson, TX, 75080","32.9433945, -96.7460102",41de4602-4742-4362-9185-8bfb18c4eb44,"St. Paul the Apostle School ""The Science Garden"" (RISD)",
"6529 Inwood Road, Dallas, TX, 75209","32.838328, -96.82216199999999",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,St. Thomas the Apostle Community Garden,benday9@aol.com
"1120 Randlett St., Lancaster, TX, 75146","32.6022613, -96.75841179999999",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,St. Vincent Outreach Community Garden,lisa@svdpdall.org
"2632 Lagow Sy., Dallas, TX, 75215","32.7725129, -96.746893",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Sunny South Community Garden,tigerlily_steeie@yahoo.com
"1600 Bonnie View RD., Dallas, TX, 75203","32.7291203, -96.7916892",41de4602-4742-4362-9185-8bfb18c4eb44,SWAJA (Southwest Adventist Junior Academy) School Garden,
"8500 Hillcrest Rd, Dallas, TX, 75225","32.8681065, -96.7859612",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Temple Emanu-el Community Garden (Jill Stone),Kaellan.mcinnis@gmail.com
"5106 Bexar Street, Dallas, TX, 75215","32.7509009, -96.7529672",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,TR Hoover Garden AKA The Learning Garden @ Trinity Baptist Church,Cbhasin@hotmail.com
"8361 Park Ln., Dallas, TX, 75231","32.8714928, -96.76076959999999",a9e8a2fb-c031-484b-8f99-93b1c1debe3b,"Trans.lation Micro Farm, Dallas (Citizen D)",
"2813 Troy St, Dallas, TX, 75210","32.77764820000001, -96.7400744",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Unity Community Gardens,octalogic1999@gmail.com
"3500 Lovers Lane, Dallas, TX, 75225","32.8514685, -96.79028679999999",a9e8a2fb-c031-484b-8f99-93b1c1debe3b,"University Park Elementary ""UP Learning Garden"" (HPISD)",farmerkimaman@gmail.com
"2650 Canada Drive, Dallas, TX, 75212","32.7921745, -96.8652058",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Uplift Heights Preparatory School,
"612 Cedar Rapids Ln, Glenn Heights, TX, 75115","32.6273856, -96.87051369999999",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Urban Dallas Farm - Community Garden,
"1455 Record Crossing Rd., Dallas, TX, 75235","32.8168398, -96.8583159",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Urban Inter-Tribal Center of Texas Community Garden,sylvia.rodriguez@uitct.com
