farm_name,profile_url,latitude,longitude,street_address
All Things Flowers,localharvest.org/all-things-flowers-M85138,32.66,-96.76,
Eden's Garden CSA Farm,localharvest.org/edens-garden-csa-farm-M23376,32.7058976,-96.60493269999999,"Location: 4710 Pioneer Road Balch Springs, TX 75180"
Candy Girl Chicks & Livestock,localharvest.org/candy-girl-chicks-livestock-M71115,32.6212822,-96.720664,"Location: 1900 W Wintergreen Hutchins, TX 75141"
Bishop Hill Farm Flowers,localharvest.org/bishop-hill-farm-flowers-M77604,,,Not found
Earth Healthy,localharvest.org/earth-healthy-M72493,32.6283704,-96.87432369999999,"Location: N Westmoreland Rd 2010 Desoto, TX 75115"
Everbloom Fields,localharvest.org/everbloom-fields-M75483,,,Not found
Forest's Farms,localharvest.org/forests-farms-M19383,32.83826120000001,-96.49745920000001,"Location: 220 Crystal Ct Heath, TX 75032"
Speedy Sprout Farms,localharvest.org/speedy-sprout-farms-M80894,32.68,-97.03,
Red Goat Gardens,localharvest.org/red-goat-gardens-M49317,33.05412099999999,-96.6525391,"Location: 3908 Sycamore Lane Parker, TX 75002"
"""Your Garden"" CSA",localharvest.org/your-garden-csa-M28087,,,Not found
Chapman 3C Cattle Company,localharvest.org/chapman-3c-cattle-company-M75349,31.9139846,-98.15841929999999,"Location: 4513 W FM 219 Hico, TX 76457"
Gold Nugget Farm,localharvest.org/gold-nugget-farm-M82022,32.22,-98.47,
Prairie Sky Farm,localharvest.org/prairie-sky-farm-M56113,32.6102985,-97.57783739999999,"Location: 4801 Kelly Road Aledo, TX 76008"
Little Dub Farm,localharvest.org/little-dub-farm-M60055,32.6086149,-97.575687,"Location: 4901 Kelly Road Fort Worth, TX 76126"
Nine Mile Farm - Fresh Duck Eggs,localharvest.org/nine-mile-farm-fresh-duck-eggs-M66339,32.838466,-97.51970299999999,"Location: 7190 Nine Mile Bridge Road Fort Worth, TX 76135"
Broken Paddle Farm,localharvest.org/broken-paddle-farm-M71748,32.8386566,-97.435663,"Location: Ten Mile Bridge rd Fort Worth, TX 76135-2124"
"HFW Beef, LLC",localharvest.org/hfw-beef-llc-M22596,34.0890146,-98.71194570000002,"Location: 2542 Hwy 240 Wichita Falls, TX 76136"
Roman Heritage Farms,localharvest.org/roman-heritage-farms-M71517,32.4431842,-97.5351309,"Location: 269 W Hwy 171 Godley, TX 76044"
Star Ranch Azle,localharvest.org/star-ranch-azle-M39705,,,Not found
Adobe Farm,localharvest.org/adobe-farm-M51609,32.7908683,-97.7217403,"Location: 2526 Hayley Drive Weatherford, TX 76085"
Twinstone Ranch,localharvest.org/twinstone-ranch-M81797,32.51,-97.22,
Udderly Free Range,localharvest.org/udderly-free-range-M65445,32.8800132,-97.6500057,"Location: 124 Remington Lane Weatherford, TX 76085"
Mushroom Street Farms,localharvest.org/mushroom-street-farms-M85118,32.62,-97.16,
Ewe Got It Farm,localharvest.org/ewe-got-it-farm-M67507,32.4615291,-97.3880731,"Location: 4224 C.R. 801 Joshua , TX 76058"
Giselle Borges,localharvest.org/giselle-borges-M83920,32.72,-97.15,
Sendero Brothers All Natural Grassfed Texas Beef,localharvest.org/sendero-brothers-all-natural-grassfed-texas-beef-M34329,32.7322144,-97.1534161,"Location: 2714 Buffalo Dr. Arlington, TX 76013"
DFW Organic Growing,localharvest.org/dfw-organic-growing-M76552,32.920845,-97.3334091,"Location: 10027 Harmon Rd ste 125 Fort Worth, TX 76177-7314"
Walnut Creek Farm,localharvest.org/walnut-creek-farm-M61206,32.4477094,-97.2412815,"Location: 6529 Asher Road Alvarado, TX 76009"
Lonesome Star Farm,localharvest.org/lonesome-star-farm-M33899,,,Not found
Jazbac Farm,localharvest.org/jazbac-farm-M60570,,,Not found
C&B Fleece Fur and Feathers,localharvest.org/c-b-fleece-fur-and-feathers-M32794,32.9413479,-97.2881548,"Location: 11429 Ridgeview Circle Ft Worth, TX 76244"
La Casa Verde,localharvest.org/la-casa-verde-M54090,32.7608137,-97.80875669999999,"Location: 802 W. Spring St. Weatherford, TX 76086"
Falling Star Farms,localharvest.org/falling-star-farms-M63473,,,Not found
