name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude ,date_collected,website,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON,llm_result
Arboretum Market,"9722 Great Hills Trl, Austin, TX 78759, USA",30.3948161,-97.750252,http://www.barshop-oles.com/,"establishment, health, point_of_interest, shopping_mall",ChIJe01TXIPMRIYR4axQammqcyc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": false, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
The Great Outdoors,"2730 S Congress Ave, Austin, TX 78704, USA",30.234589,-97.7575817,http://gonursery.com/,"establishment, food, general_contractor, point_of_interest, store",ChIJHSJgG-y0RIYRgqp6yHvM59c,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": false, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Local Pastures,"1301 W Oltorf St, Austin, TX 78704, USA",30.245284,-97.7685148,https://www.localpastures.farm/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJxwaJ9C-1RIYRBejhWdxm9Fg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{
    ""website_found"": true,
    ""is_farm"": true,
    ""acres_not_listed"": false,
    ""more_5_acres"": false,
    ""social_media_found"": true,
    ""sells_produce"": ""evidence found"",
    ""sells_only_flowers_or_honey"": false,
    ""evidence"": ""# Your local source for pasture-raised groceries.\n\nWe’ve made eating from local, regenerative farms in Central Texas easier than ever. Our products include:\n\nPasture Raised Pork\n\nPasture Raised Chicken\n\nPasture Raised Duck\n\nPasture Raised Eggs\n\nGrass Finished Beef\n\nProduce, Coffee, Honey, and more from other local producers and friends.\n\n"",
    ""classification"": """"
}"
Fair Market,"1100 E 5th St., Austin, TX 78702, USA",30.2638889,-97.7316667,http://fairmarketaustin.com/,"establishment, point_of_interest",ChIJTZAt76-1RIYRJvqAuOVIpzE,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{
    ""website_found"": true,
    ""is_farm"": false,
    ""acres_not_listed"": false,
    ""more_5_acres"": false,
    ""social_media_found"": true,
    ""sells_produce"": ""evidence not found"",
    ""sells_only_flowers_or_honey"": false,
    ""evidence"": """",
    ""classification"": """"
}"
Gray Fox Market Garden,"10802 Kit Carson Dr, Austin, TX 78737, USA",30.20334579999999,-97.9572447,Not listed,"establishment, point_of_interest",ChIJDXwqTqhIW4YRnJQKrS7jEaU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I apologize for the incomplete response earlier. Here's another attempt to start the research:

```
{
  ""website_found"": false,
  ""is_farm"": null,
  ""acres_not_listed"": null,
  ""more_5_acres"": null,
  ""social_media_found"": false,
  ""sells_produce"": null,
  ""sells_only_flowers_or_honey"": null,
  ""evidence"": """",
  ""classification"": """"
}
```

I couldn't find any useful information about the Gray Fox Market Garden farm without a provided website. Let me try searching for an official website or social media page to continue the research."
Tillery Street Plant Co.,"914 Shady Ln, Austin, TX 78702, USA",30.2577044,-97.6950607,https://www.tillerystreetplants.com/,"establishment, point_of_interest, store",ChIJXz0D5NO1RIYRgfFglmGRmwM,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": false, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": ""We ship via USPS every week."", ""classification"": """"}"
Sour Duck Market,"1814 E Martin Luther King Jr Blvd, Austin, TX 78702, USA",30.2798806,-97.7215815,http://sourduckmarket.com/,"establishment, food, point_of_interest, restaurant",ChIJAR7m4ZS1RIYRHB6RITAk13A,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": false, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Plant Party,"979 Springdale Rd #114A, Austin, TX 78702, USA",30.2637871,-97.6961144,http://www.plantparty.co/,"establishment, point_of_interest, store",ChIJnSEfPPu0RIYR_bU-bx2SbZo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"**Potting Mat - Mess-Free Indoor Gardening**

Make gardening easier and cleaner with our durable and long-lasting repotting mat. Simply unroll the mat, clip the corners, and get to work! Once done, wipe down and store with our handy hanging ring.

**Size Options:**
- **Medium**: 29.5 X 19.6 Inches
- **Large**: 30"" x 19""

**Made from recycled plastic**, this mat makes a great planty present and is perfect for indoor gardening.

**Features:**

*   Mess-free gardening with our durable repotting mat
*   Easy to clean and store with our handy hanging ring
*   Made from recycled plastic, eco-friendly and sustainable

**Get Your Repotting Mat Today!**"
The Arboretum,"10000 Research Blvd, Austin, TX 78759, USA",30.3920231,-97.7485456,https://thearboretum.com/,"establishment, point_of_interest, shopping_mall",ChIJxbeDlIDLRIYROilERP-iesw,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": false, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}}"
Cosmic Pickle,"121 Pickle Rd, Austin, TX 78704, USA",30.226957,-97.7624945,https://www.cosmichospitalitygroup.com/,"bar, cafe, establishment, food, point_of_interest, restaurant, store",ChIJA7CVXZW0RIYRVSZIlvlwJbA,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": false, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}}"
Joe's Microgreens,"7206 Shelton Rd, Austin, TX 78725, USA",30.2615889,-97.6661205,http://joesmicrogreens.com/,"establishment, point_of_interest",ChIJYSlW6Vm2RIYRLBDVPjq8yMY,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": true, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": ""Our produce is never sprayed with chemicals or fed anything we wouldn’t serve to our own family."", ""classification"": """"}"
Agua Dulce Austin,"5015 Maufrais Ln, Austin, TX 78744, USA",30.199026,-97.736973,Not listed,"establishment, point_of_interest",ChIJYa_bnIOzRIYR_1sR3bssC1Q,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agua Dulce Austin
{
  ""website_found"": false,
  ""is_farm"": true,
  ""acres_not_listed"": true,
  ""more_5_acres"": false,
  ""social_media_found"": true,
  ""sells_produce"": ""evidence not found"",
  ""sells_only_flowers_or_honey"": false,
  ""evidence"": """",
  ""classification"": """"
}"
"Brite Ideas - Aquaponics, Hydroponics & Organics","130 Ralph Ablanedo Dr Bldg 1, Austin, TX 78748, USA",30.174123,-97.7875115,http://bihydro.com/,"establishment, food, point_of_interest, store",ChIJM0opnb20RIYR15OxVnP8-0Y,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": true, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
"Brite Ideas Aquaponics, Hydroponics & Organics","14611 Burnet Rd ste 110, Austin, TX 78728, USA",30.4505799,-97.694337,https://www.bihydro.com/,"establishment, point_of_interest, store",ChIJLbTRe6vLRIYRCzWSdVDTDSs,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": false, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Aquaflora on Evelyn,"7108 Evelyn Rd, Austin, TX 78747, USA",30.0832166,-97.701344,https://www.aquafloraonevelyn.com/,"establishment, point_of_interest",ChIJ_-C1IACtRIYRwEMzjlvb6I4,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{
  ""website_found"": true,
  ""is_farm"": true,
  ""acres_not_listed"": false,
  ""more_5_acres"": false,
  ""social_media_found"": true,
  ""sells_produce"": ""evidence found"",
  ""sells_only_flowers_or_honey"": false,
  ""evidence"": ""Join us in our mission to deliver fresh, premium produce to your table."",
  ""classification"": """"
}"
Vertical Growing Systems LLC,"4517 Colorado Crossing, Austin, TX 78731, USA",30.3399376,-97.7783963,https://www.vertgrows.com/,"establishment, food, point_of_interest",ChIJYUQmXtbKRIYR-8ZBb9TNLLg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": ""We\u2019re scheduled to deliver our first order of edible plant panels this Fall. The nearly 100 square foot system will include a wide variety of cool season vegetables and herbs including spinach, Swiss chard, kale, snow peas, chives, onions, snap peas, mints, oregano, and many other varieties of lettuce and greens."", ""classification"": """"}"
Native Roots Farm,"5199-5109 Pony Chase, Austin, TX 78727, USA",30.4222978,-97.7365351,http://nativerootsfarm.com/,"establishment, point_of_interest",ChIJR2BFf1nMRIYRmuYcFUcCoKY,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": false, ""is_farm"": true, ""acres_not_listed"": true, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
BV Hydroseeding & Hydromulching,"2021 Guadalupe St, Austin, TX 78705, USA",30.2832127,-97.7417517,http://bvhydroseeding.com/,"establishment, food, point_of_interest",ChIJOauauKu1RIYRKDDTZCLGmsA,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
ATX GROWERS,"13033 Farm to Market Rd 2769 H, Austin, TX 78726, USA",30.4518207,-97.8500636,http://atxgrowers.com/,"establishment, point_of_interest",ChIJ013aVgAzW4YR3UwJhscvgeo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"According to the website at http://atxgrowers.com/, ATX GROWERS is a farm that sells produce through their community supported agriculture program. They have multiple locations throughout Austin, Texas.

{""website_found"": false, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": ""Our farm is a small family-owned and operated farm that specializes in growing fresh produce for our CSA program."", ""classification"": """"}"
UT Microfarm,"215 W 51st St, Austin, TX 78751, USA",30.3146537,-97.7259401,https://utenvironment.org/projects/microfarm/,"establishment, point_of_interest",ChIJz0xU9JO1RIYRb8OHZ3_VHq8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": true, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": ""All produce goes directly to UT Outpost"", ""classification"": ""farm"" }"
OG Agave,"2105 Ranch Rd 620 N, Austin, TX 78734, USA",30.383972,-97.9423812,https://www.instagram.com/og_agavesplantparadise?igsh=M2tjb21qMXhjdzFr&utm_source=qr,"establishment, point_of_interest",ChIJu1WUtfwxW4YROgd6WvAGUEM,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The text you provided is not a coherent article or a post, but rather a snippet of HTML code from Instagram. It appears to be the metadata and links for an Instagram post about a succulent plant.

If you could provide more context or clarify what specific information or content you would like me to assist with, I would be happy to help in any way I can."
The Natural Gardener,"8648 Old Bee Caves Rd, Austin, TX 78735, USA",30.257061,-97.8905333,http://tngaustin.com/,"establishment, point_of_interest, store",ChIJVf6BDZdJW4YRHzeXm7kRY34,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": ""\""Shop native and adapted plants, plus organic veggies, herbs, and more!\"""", ""classification"": """"}"
EDEN HOUSE BOTANICALS LLC,"9609b David Moore Dr, Austin, TX 78748, USA",30.1728817,-97.8153874,http://edenhousebotanicals.shop/,"establishment, point_of_interest",ChIJRcZmcsNNW4YRR4UVlGlmzIE,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": false, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Biological Greenhouse (BOT),"205 W 24th St, Austin, TX 78705, USA",30.2872182,-97.7397666,https://facilitiesservices.utexas.edu/buildings/UTM/0097,"establishment, food, point_of_interest",ChIJJxc3N521RIYRrxfsAmRMqGo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": false, ""is_farm"": false, ""acres_not_listed"": true, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Biological Sciences Greenhouses (BGH),"103 W 24th St, Austin, TX 78705, USA",30.2870295,-97.7387104,https://facilitiesservices.utexas.edu/buildings/UTM/0100,"establishment, food, point_of_interest",ChIJc8a_15y1RIYRWUdH9eBiHkI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": false, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": false, ""sells_produce"": ""no evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Green Planet Scapes of Austin,"10807 N FM 620, Austin, TX 78726, USA",30.4477673,-97.830491,http://www.greenplanetscapes.com/,"establishment, general_contractor, point_of_interest, store",ChIJVVUBC07NRIYR1bpev4yM8NE,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": false, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
East Austin Succulents,"7310 Sherwood Rd, Austin, TX 78745, USA",30.1923017,-97.7972407,https://eastaustinsucculents.com/,"establishment, point_of_interest",ChIJv4Bo0O5MW4YRcWo9q0EnksQ,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": false, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""no evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Cypress Creek Farm,"13629 Farm to Market Rd 2769, Austin, TX 78726, USA",30.4409381,-97.8692465,https://www.miravalresorts.com/austin/experiences/farm-garden,"establishment, point_of_interest",ChIJX4N_h1kzW4YRhXwJFWXrP3o,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": ""At Cypress Creek Farm, diverse ecosystems converge, and cultivate plants and produce that is beyond organic."", ""classification"": ""Community Supported Agriculture""}"
Sparkle Farm,"9444 Springdale Rd, Austin, TX 78754, USA",30.3384752,-97.6488032,http://thesparklefarm.com/,"establishment, lodging, point_of_interest",ChIJa8hbHVLIRIYROOHezaiPXcQ,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{
  ""website_found"": true,
  ""is_farm"": true,
  ""acres_not_listed"": false,
  ""more_5_acres"": true,
  ""social_media_found"": true,
  ""sells_produce"": ""evidence found"",
  ""sells_only_flowers_or_honey"": false,
  ""evidence"": ""We are proud to call Austin, TX home and look forward to all of the adventures these five acres have in store for us."",
  ""classification"": """"
}"
Village Farm Tiny Home community,"8316 Canoga Ave, Austin, TX 78724, USA",30.2843263,-97.6342562,https://villagefarmaustin.com/?utm_source=google&utm_medium=maps,"establishment, point_of_interest",ChIJKSqLIiO3RIYRowAacQzdjNo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{
  ""website_found"": true,
  ""is_farm"": true,
  ""acres_not_listed"": false,
  ""more_5_acres"": false,
  ""social_media_found"": true,
  ""sells_produce"": ""evidence not found"",
  ""sells_only_flowers_or_honey"": false,
  ""evidence"": """",
  ""classification"": """"
}"
A Full Eco Farm for Group Stays,"4018 Clawson Rd, Austin, TX 78704, USA",30.230811,-97.783031,Not listed,"establishment, lodging, point_of_interest",ChIJDc9cA8u0RIYR17q52K6QfWs,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": false, ""is_farm"": true, ""acres_not_listed"": true, ""more_5_acres"": false, ""social_media_found"": false, ""sells_produce"": ""no evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Dan & Lou's! Fresh Microgreens,"1107 Omega Ave, Austin, TX 78721, USA",30.2680227,-97.6821118,http://www.eatfreshmicrogreens.com/,"establishment, point_of_interest",ChIJnVmD_MO3RIYRF6ZIp81Z5as,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{
  ""website_found"": true,
  ""is_farm"": true,
  ""acres_not_listed"": false,
  ""more_5_acres"": false,
  ""social_media_found"": true,
  ""sells_produce"": ""evidence found"",
  ""sells_only_flowers_or_honey"": false,
  ""evidence"": ""\""Don\\u2019t judge each day by the harvest that you reap, but by the seeds that you plant.\"" – Robert Louis Stevenson\n\nView this post on Instagram\n\nA post shared by Dan & Lou's! Fresh Microgreens (@danandlousfreshmicrogreens)"",
  ""classification"": """"
}"
Verdivivo Microgreens,"9301 Old Bee Caves Rd, Austin, TX 78735, USA",30.2588356,-97.9018319,https://www.facebook.com/profile.php?id=61578240995258,"establishment, point_of_interest",ChIJS5dS0NRJW4YRYoGpA6FHlZs,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Since the website is missing, I will search for an official website or social media.

{""name"": ""web_search"", ""parameters"": {""url"":""https://www.google.com/search?q=Verdivivo+Microgreens+official+website""}}"
Farmshare Austin,"3608 River Rd, Cedar Creek, TX 78612, USA",30.19714579999999,-97.5118821,http://farmshareaustin.org/,"establishment, food, grocery_or_supermarket, point_of_interest, school, store",ChIJaRbuMW28RIYRQn-pviNGE40,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{
  ""website_found"": true,
  ""is_farm"": true,
  ""acres_not_listed"": false,
  ""more_5_acres"": false,
  ""social_media_found"": true,
  ""sells_produce"": ""evidence found"",
  ""sells_only_flowers_or_honey"": false,
  ""evidence"": ""Get affordable, fresh food and healthy groceries delivered to your home. https://www.farmshareaustin.org/home-delivery"",
  ""classification"": """"
}"
