name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude_1,date_collected,website,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON,llm_result
Ruibal's Plants of Texas,"601 S Pearl Expy, Dallas, TX 75201, USA",32.778552,-96.7905,http://ruibals.com/,"establishment, florist, point_of_interest, store",ChIJD32EM-CYToYRyYbVi5DML3c,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": ""We carry a large selection of bedding plants, perennials, shrubs, trees, tropical plants, floral plants and garden vegetables."", ""classification"": """"}"
Main Street Garden Park,"1902 Main St, Dallas, TX 75201, USA",32.7811695,-96.7948469,http://mainstreetgarden.org/,"establishment, park, point_of_interest, tourist_attraction",ChIJRfzcnR-ZToYRg8yt9Ky1Hww,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{
  ""website_found"": true,
  ""is_farm"": false,
  ""acres_not_listed"": true,
  ""more_5_acres"": false,
  ""social_media_found"": true,
  ""sells_produce"": ""evidence not found"",
  ""sells_only_flowers_or_honey"": false,
  ""evidence"": """",
  ""classification"": """"
}"
Farmer's Delite,"440 S Hampton Rd, DeSoto, TX 75115, USA",32.58298,-96.856576,https://www.facebook.com/FarmersDelite/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJc2fQCaKTToYRlaEgSo-CoJc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This is an HTML code snippet for a Facebook page, likely for a business or personal profile. The code includes:

1.  An SVG image: The first part of the code is an SVG image that represents a blue radial gradient with black and white dots.
2.  A `defs` section: This section defines several gradients:
    *   Two radial gradients (`paint1_radial_15251_63610` and `paint2_radial_15251_63610`) are used to create the radial pattern on the SVG image.
    *   One linear gradient (`paint0_linear_15251_63610`) is used to define the transition from black to white in the radial gradients.
3.  An SVG element: The main content of the code is an SVG element that uses the defined gradients and patterns to create a complex shape.

The HTML code also includes several Facebook-specific elements, such as:

1.  A `clipPath` section: This defines a clip path for the SVG image, which allows it to be clipped at a specific region.
2.  Several links: The code includes several links to various Facebook features, including login, recovery, and sharing options.

Overall, this HTML code snippet is likely used to customize the appearance of a Facebook page or profile with a unique background design created using SVG images and gradients."
Energy Gardens Terrariums,"3116 Commerce St Ste C, Dallas, TX 75226, USA",32.7840317,-96.7778207,http://www.energygardens.shop/,"establishment, point_of_interest",ChIJzaWwgo6ZToYRs8WEUoivx_E,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": ""Shop our Mixes | EG Living Decor"", ""classification"": """"}"
Stone Street Gardens,"1520 Elm St #201, Dallas, TX 75201, USA",32.7813827,-96.7986925,Not listed,"establishment, park, point_of_interest",ChIJsS4UoxiZToYRvnXeYw5B6n4,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I can't provide a list of contractors or landscaping companies. If you're looking for recommendations, I can offer some general tips on how to find a reliable contractor or landscaper. Would that help?"
East Dallas Community Garden,"1416 N Fitzhugh Ave, Dallas, TX 75204, USA",32.8045316,-96.7742119,Not listed,"establishment, park, point_of_interest",ChIJ9WgmPcuYToYRP3-VODR1iUE,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": false, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Civic Garden,"1014 Main St, Dallas, TX 75202, USA",32.7795971,-96.8022293,https://parksfordowntowndallas.org/civic-garden/,"establishment, park, point_of_interest, tourist_attraction",ChIJSWNvMBiZToYRXM9CJnt6X2E,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": false, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": ""Farm""}"
Gardenuity,"2222 Vantage St, Dallas, TX 75207, USA",32.7993729,-96.8339266,https://www.gardenuity.com/?y_source=1_MTIwNjA4NjAtNzE1LWxvY2F0aW9uLndlYnNpdGU=,"establishment, home_goods_store, point_of_interest, store",ChIJdfEPzc2eToYRCwgP3VJMAA4,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": false, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Green Grow Rooms,"8339 Hoyle Ave, Dallas, TX 75227, USA",32.7747592,-96.6764068,https://greengrowrooms.com/,"establishment, point_of_interest",ChIJtTrOimyjToYRMyMrhvXWWiQ,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{
  ""website_found"": true,
  ""is_farm"": true,
  ""acres_not_listed"": false,
  ""more_5_acres"": false,
  ""social_media_found"": true,
  ""sells_produce"": ""evidence found"",
  ""sells_only_flowers_or_honey"": false,
  ""evidence"": """",
  ""classification"": """"
}"
New Life Farms,"9811 Travis Trail, Dallas, TX 75241, USA",32.631323,-96.756804,http://www.newlifefarms.org/,"establishment, point_of_interest",ChIJnXKkiCGXToYRSG8r-lki7-I,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": false, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
North Haven Gardens,"7700 Northaven Rd, Dallas, TX 75230, USA",32.90013,-96.77556,https://www.nhg.com/,"establishment, point_of_interest, store",ChIJk-Y0CnQgTIYRIk80cUbLr7g,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": false, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": ""Shop Dallas’ favorite destination for plants, gifts, and garden inspiration since 1951.\n\nWant to grow your very own herbs and vegetables? Shop NHG's wide & competitively priced selection."", ""classification"": """"}"
Vickery Wholesale Greenhouse,"4911 E Grand Ave, Dallas, TX 75223, USA",32.7875539,-96.7544595,http://www.vickerygreenhouse.com/,"establishment, florist, food, point_of_interest, store",ChIJo01meaGYToYRdxtYLC1AwyU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": false, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": true, ""evidence"": """", ""classification"": """"}"
Gotham Greens Seagoville,"800 Environmental Way, Seagoville, TX 75159, USA",32.6460278,-96.5635523,https://www.gothamgreens.com/,"establishment, food, point_of_interest",ChIJA24ItduxToYRq4cIV-6Kv8w,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": ""## Growing greens in better ways."", ""classification"": """"}"
Jacksons Home & Garden,"6950 Lemmon Ave, Dallas, TX 75209, USA",32.8429693,-96.8337923,http://www.jacksonshg.com/,"establishment, food, furniture_store, home_goods_store, point_of_interest, store",ChIJWXVJk4GeToYRb1dlQuytDnU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": false, ""acres_not_listed"": true, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Rolke Greenhouses,"1908 S Hampton Rd, Glenn Heights, TX 75154, USA",32.5545143,-96.8561534,http://www.rolkegreenhouses.com/,"establishment, food, general_contractor, point_of_interest, store",ChIJmxA3mWqTToYRzYJZW5avcNo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": ""Shop Now"", ""classification"": """"}"
Mars Hill Farm,"1604 Mars Rd, Ferris, TX 75125, USA",32.5880891,-96.6426047,http://www.marshillfarm.com/,"establishment, point_of_interest",ChIJFep8-N25ToYRpMVbm_1nTnI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Oasis Plant Shop,"416 W Eighth St, Dallas, TX 75208, USA",32.7478714,-96.8291397,http://oasisplantshop.com/,"establishment, food, furniture_store, general_contractor, home_goods_store, point_of_interest, store",ChIJ5Vbb68SZToYROPydCKnnE-k,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": false, ""is_farm"": true, ""acres_not_listed"": true, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Dallas Organic BlackBerry Farm,"345 E Wheatland Rd, Dallas, TX 75241, USA",32.6478576,-96.8176719,https://dallasorganicblackberries.com/,"establishment, food, point_of_interest, store",ChIJDUF4GwCXToYRzK-bhkE2fGc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": ""Indulge in the rich flavor and natural goodness of sun-ripened blackberries grown with love and zero chemicals. Freshly harvested, ethically farmed, and delivered with care."", ""classification"": """"}"
OHM Microgreens,"5931 Greenville Ave PMB 3054, Dallas, TX 75206, USA",32.8578397,-96.7689155,https://ohmmicrogreens.com/,"establishment, point_of_interest",ChIJn1qHJmqfToYRfSBGcZ6MFGk,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": false, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Owenwood Farm & Neighbor Space,"1451 John West Rd, Dallas, TX 75228, USA",32.80732620000001,-96.6929134,http://www.owenwood.org/,"establishment, point_of_interest",ChIJGYwr_tijToYR1wY2UtF-5NI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": false, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Pawpaws Produce & Co,"2220 E Ledbetter Dr, Dallas, TX 75216, USA",32.686718,-96.786526,Not listed,"establishment, point_of_interest",ChIJO_lTzoGXToYR4R0ZbTZr3Mg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": false, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": false, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
One Love Farms,"9210 Mountain Cabin Rd, Dallas, TX 75217, USA",32.6942743,-96.6618798,http://www.oneloveroseandgardens.com/,"establishment, point_of_interest",ChIJnX2Vq2C7ToYR1E0ih6TRzU8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{
  ""website_found"": true,
  ""is_farm"": true,
  ""acres_not_listed"": false,
  ""more_5_acres"": false,
  ""social_media_found"": true,
  ""sells_produce"": ""evidence found"",
  ""sells_only_flowers_or_honey"": false,
  ""evidence"": ""\""All roses here are two to three year old plants with large root systems, ready to be planted for instant impact!\"""",
  ""classification"": """"
}"
Falcon Farms Inc,"1075 S Belt Line Rd Ste 100, Coppell, TX 75019, USA",32.9463078,-96.9940454,https://falconfarms.com/,"establishment, florist, point_of_interest, store",ChIJTRAsK8mgToYRY7KmGd83zhg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{
  ""website_found"": true,
  ""is_farm"": false,
  ""acres_not_listed"": false,
  ""more_5_acres"": false,
  ""social_media_found"": true,
  ""sells_produce"": ""evidence not found"",
  ""sells_only_flowers_or_honey"": true,
  ""evidence"": """",
  ""classification"": """"
}"
Ruibal's Plants of Texas,"6630 Lemmon Ave, Dallas, TX 75209, USA",32.8389531,-96.8335355,https://ruibals.com/,"establishment, point_of_interest",ChIJC2J474KeToYRdn792Xt_Hos,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{
  ""website_found"": true,
  ""is_farm"": true,
  ""acres_not_listed"": false,
  ""more_5_acres"": false,
  ""social_media_found"": true,
  ""sells_produce"": ""evidence found"",
  ""sells_only_flowers_or_honey"": false,
  ""evidence"": ""\""From 1 plant to 1000+ flats. Nothing is too big or small for us to deliver to your door.\"""",
  ""classification"": """"
}"
The Botanical Mix,"2000 N Stemmons Fwy, Dallas, TX 75207, USA",32.8032988,-96.8228894,http://www.thebotanicalmix.com/,"establishment, florist, point_of_interest, store",ChIJ6R__yrKeToYRiTzekVwZlXA,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{
  ""website_found"": true,
  ""is_farm"": false,
  ""acres_not_listed"": false,
  ""more_5_acres"": false,
  ""social_media_found"": true,
  ""sells_produce"": ""evidence not found"",
  ""sells_only_flowers_or_honey"": false,
  ""evidence"": """",
  ""classification"": """"
}"
Taylor Farms Drop Yard,"4720 W Ledbetter Dr, Dallas, TX 75236, USA",32.6903655,-96.9006758,Not listed,"establishment, point_of_interest",ChIJhXpYwhSQToYRhgwAjJRKAg8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{
  ""website_found"": true,
  ""is_farm"": true,
  ""acres_not_listed"": false,
  ""more_5_acres"": false,
  ""social_media_found"": true,
  ""sells_produce"": ""evidence found"",
  ""sells_only_flowers_or_honey"": false,
  ""evidence"": ""POWER UP\nTry Here\nDive in MEET OUR \n## CHOPPED SALAD KITS You won\u2019t be able to resist the fresh layers of flavor in these salad kit combinations. Say hello to a deliciously convenient way to get your veggie fix."",
  ""classification"": """"
}"
South Prairie Farm,"4405 Sharpsburg Dr, Grand Prairie, TX 75052, USA",32.6657085,-97.020526,http://www.southprairiefarm.com/,"establishment, point_of_interest",ChIJ1y4RAOKJToYRy0rMSIqhDpA,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": false, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Beannacht Acres LLC,"1651 Easy St, Seagoville, TX 75159, USA",32.621389,-96.536131,Not listed,"bakery, establishment, food, point_of_interest, store",ChIJP0rTWZG3ToYR0rTpOY22fWg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": false, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""no evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
New Life Farm,"960 Nokomis Cir, Lancaster, TX 75146, USA",32.567701,-96.7432036,https://m.facebook.com/Newlifefarmtexas/,"establishment, point_of_interest",ChIJazmgxdu_ToYRuZ_TTDUNykM,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This is a Facebook post from the page ""New Life Farm"" in Texas. The post is an image with a mirror reflection, and the caption reads ""Mirror mirror in the wall. How do it look? Lovin' this look.…""

The post has 2 reactions, 2 likes, and 1 comment. There are also links to log in or recover a forgotten password.

The image includes three different gradient colors: #230866FF (a dark blue), #2302ADFC (a light blue-green), and #232BEFF (a pale blue). The gradients are used to create a sense of depth and visual interest in the image.

Overall, the post appears to be a playful and creative way to engage with followers and showcase the farm's aesthetic."
